lon_25_75,lat_25_75,ID_HDC_G0,GCPNT_LAT,GCPNT_LON,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,P15,urban_center_count
89.75,22.75,9891,22.66160715,89.77431868,Bangladesh,BGD,Asia,South-Central Asia,Bagerhat,Bagerhat,100410.2117,4
89.75,22.75,9897,22.98392389,89.99806036,Bangladesh,BGD,Asia,South-Central Asia,Kutalipara,Kutalipara,68270.29778,4
89.75,22.75,9896,22.79199193,89.87444418,Bangladesh,BGD,Asia,South-Central Asia,Chitalmari,Chitalmari,54173.40671,4
89.75,23.75,9865,23.58576916,89.83286568,Bangladesh,BGD,Asia,South-Central Asia,Faridpur,Faridpur,276825.1479,4
89.75,23.75,9846,23.76078695,89.65824116,Bangladesh,BGD,Asia,South-Central Asia,Rajbari,Rajbari,118453.7012,4
89.75,23.75,9831,23.953532100000004,89.62415940000002,Bangladesh,BGD,Asia,South-Central Asia,Kashinathpur,Kashinathpur,60901.86719,4
89.75,23.75,9838,23.88537943,89.64447859,Bangladesh,BGD,Asia,South-Central Asia,Masundia,Masundia; Ruppur,53109.31104,4
90.25,56.25,6155,56.26488621,90.49949264,Russia,RUS,Europe,Eastern Europe,Achinsk,Achinsk,68715.57715,1
90.75,22.25,9985,22.33775902,90.72815825,Bangladesh,BGD,Asia,South-Central Asia,Lalmohan,Lalmohan,113946.2463,3
90.75,22.25,9994,22.18432468,90.76132099,Bangladesh,BGD,Asia,South-Central Asia,Charfasson,Charfasson,105447.9406,3
90.75,22.25,9995,22.41510216,90.85320426,Bangladesh,BGD,Asia,South-Central Asia,,-,69162.40723,3
92.25,26.75,9937,26.57708559,92.14066604,India,IND,Asia,South-Central Asia,Kharupetia,Kharupetia; Dalgoan,355656.5403,1
93.25,20.25,10110,20.36055071,93.27279283,Myanmar,MMR,Asia,South-Eastern Asia,Minbya,Minbya,116975.4001,2
93.25,20.25,10108,20.1773941,93.06769096,Myanmar,MMR,Asia,South-Eastern Asia,Pauktaw,Pauktaw,113344.8965,2
96.75,21.25,10209,21.24537547,96.86859203,Myanmar,MMR,Asia,South-Eastern Asia,Lawksawk,Lawksawk,54293.31689,1
97.75,4.25,10629,4.479333877,97.96493661,Indonesia,IDN,Asia,South-Eastern Asia,Langsa,Langsa,132088.8446,1
97.75,24.25,10196,24.00317455,97.87848587,China;Myanmar,CHN; MMR,Asia,Eastern Asia,Muse,Muse; Ruili; Ruili,163238.8571,1
99.75,1.75,10883,1.513137353,99.63121412,Indonesia,IDN,Asia,South-Eastern Asia,Gunung Tua,Gunung Tua,72009.33057,1
99.75,16.25,10522,16.4714315,99.5273196,Thailand,THA,Asia,South-Eastern Asia,Kamphaeng Phet,Kamphaeng Phet,72315.17255,1
100.25,5.25,10940,5.372127221,100.2897535,Malaysia,MYS,Asia,South-Eastern Asia,George Town,George Town,714446.8781,2
100.25,5.25,10956,5.3574553730000005,100.4364416,Malaysia,MYS,Asia,South-Eastern Asia,Bukit Mertajam,Bukit Mertajam; Butterworth,516338.8314,2
101.25,6.75,11082,6.550493655,101.2911778,Thailand,THA,Asia,South-Eastern Asia,Yala,Yala,111220.8118,2
101.25,6.75,11070,6.876511711,101.2552802,Thailand,THA,Asia,South-Eastern Asia,Pattani,Pattani,76557.63696,2
102.25,1.25,11252,1.476063991,102.1113491,Indonesia,IDN,Asia,South-Eastern Asia,Bengkalis,Bengkalis; Bengkalis Kota,52011.72665,1
102.75,35.75,10117,35.70762284,102.8665696,China,CHN,Asia,Eastern Asia,Jishishan,Jishishan,60039.05139,1
103.75,28.25,10392,28.24639761,103.6405621,China,CHN,Asia,Eastern Asia,Yongshan,Yongshan,92247.68124,1
103.75,52.75,8031,52.54952188,103.8906905,Russia,RUS,Europe,Eastern Europe,Angarsk,Angarsk,154020.005,1
104.25,28.75,10443,28.63240093,104.4009551,China,CHN,Asia,Eastern Asia,Xiangjiaba,Xiangjiaba,84618.32153,1
104.25,30.75,10297,30.68884238,104.0344387,China,CHN,Asia,Eastern Asia,Chengdu,Chengdu; Shuangliu; Chongzhou; 温江区; Qingbaijiang; Chenghua; Longquanyi; Qingyang; Jinjiang; Wuhou; Jinniu; Pidu; Xindu,9318649.156,5
104.25,30.75,10318,30.97906529,104.277459,China,CHN,Asia,Eastern Asia,Guanghan,Guanghan,188788.7129,5
104.25,30.75,10338,30.85027003,104.435897,China,CHN,Asia,Eastern Asia,Jintang,Jintang,97496.32251,5
104.25,30.75,10343,30.60517817,104.3016692,China,CHN,Asia,Eastern Asia,Luodai anient town,Luodai anient town,52988.74048,5
104.25,30.75,10341,30.83209993,104.4200883,China,CHN,Asia,Eastern Asia,,-,50804.62231,5
104.75,21.75,10972,21.71079222,104.8868399,Vietnam,VNM,Asia,South-Eastern Asia,Yên Bái,Yên Bái,102148.6392,2
104.75,21.75,10933,21.87961924,104.6847572,Vietnam,VNM,Asia,South-Eastern Asia,Mậu A,Mậu A,51176.10278,2
104.75,27.25,10576,27.42858373,104.8705965,China,CHN,Asia,Eastern Asia,Zhenxiong,Zhenxiong,123859.0596,3
104.75,27.25,10587,27.42235808,104.9679895,China,CHN,Asia,Eastern Asia,,-,81202.44409,3
104.75,27.25,10578,27.11360178,104.7100583,China,CHN,Asia,Eastern Asia,Hezhang,Hezhang,74104.23645,3
105.25,20.25,11138,20.46024418,105.4436162,Vietnam,VNM,Asia,South-Eastern Asia,Vụ Bản,Vụ Bản,54594.10303,1
105.25,37.75,10133,37.50667116,105.1953125,China,CHN,Asia,Eastern Asia,Zhongwei,Zhongwei; Shapotou,164455.656,1
106.25,32.25,10391,32.23301759,106.28607759999998,China,CHN,Asia,Eastern Asia,Wangcang,Wangcang,67802.44751,1
107.75,14.75,11868,14.51725224,107.9210696,Vietnam,VNM,Asia,South-Eastern Asia,Đắk Hà,Đắk Hà,51520.91357,1
107.75,21.75,11441,21.54073797,107.9699073,Vietnam;China,VNM; CHN,Asia,South-Eastern Asia,Mong Cai,Mong Cai; Dongxing,125104.2347,1
107.75,34.25,10377,34.31942234,107.5879365,China,CHN,Asia,Eastern Asia,Caijiapo,Caijiapo; Diaowei,78193.38892,2
107.75,34.25,10390,34.36800666,107.88089,China,CHN,Asia,Eastern Asia,Fufeng,Fufeng,61306.7421,2
108.25,-7.25,12136,-7.2860365489999985,108.1947535,Indonesia,IDN,Asia,South-Eastern Asia,Tasikmalaya,Tasikmalaya,2166830.636,2
108.25,-7.25,12122,-7.044347253,108.0014535,Indonesia,IDN,Asia,South-Eastern Asia,Malangbong,Malangbong,106674.7277,2
108.25,12.75,11959,12.67470295,108.0391085,Vietnam,VNM,Asia,South-Eastern Asia,Buôn Ma Thuột,Buôn Ma Thuột,254680.2571,3
108.25,12.75,11968,12.8163086,108.0791258,Vietnam,VNM,Asia,South-Eastern Asia,Quảng Phú,Quảng Phú; nông trường Ea Pốc,56655.60266,3
108.25,12.75,12014,12.8073259,108.450696,Vietnam,VNM,Asia,South-Eastern Asia,Ea Kar,Ea Kar,52140.60669,3
108.25,16.25,11821,16.04094152,108.1953831,Vietnam,VNM,Asia,South-Eastern Asia,Đà Nẵng,Đà Nẵng,1003279.358,1
108.75,29.75,10909,29.53095379,108.7791272,China,CHN,Asia,Eastern Asia,Qianjiang,Qianjiang,104551.0609,1
109.75,23.25,11575,23.1143262,109.6056831,China,CHN,Asia,Eastern Asia,Guigang,Guigang; Gangbei; 港南区,324439.069,1
109.75,28.75,11109,28.99508971,109.8483964,China,CHN,Asia,Eastern Asia,Yongshun,Yongshun,82703.39185,2
