lon,lat,k1_thresh,k1_num_excedences,k2_thresh,k2_num_excedences,k3_thresh,k3_num_excedences,k4_thresh,k4_num_excedences,k5_thresh,k5_num_excedences,k6_thresh,k6_num_excedences
-47.75,-23.25,307.273407,185,305.854614,450,301.232452,3433,303.099762,1717,306.300842,343,303.884094,1226
-47.75,-18.25,307.111084,185,306.140808,450,302.798065,3433,304.210785,1717,306.420837,343,304.779907,1226
-47.25,-2.75,306.453339,185,305.946411,450,304.393433,3433,305.026611,1717,306.101929,343,305.277069,1226
-46.75,-23.75,304.907074,185,303.788483,450,299.518616,3433,301.302155,1717,304.17923,343,302.048431,1226
-44.25,-22.75,302.83313,185,301.945892,450,299.075958,3433,300.259613,1717,302.27063,343,300.744598,1226
-44.25,-19.25,305.454285,185,304.663208,450,301.68277,3433,302.854279,1717,304.945557,343,303.3430180000001,1226
-43.25,-4.75,308.332611,185,307.661011,450,305.479034,3433,306.371613,1717,307.863495,343,306.745514,1226
-42.75,-14.25,305.769135,185,305.019989,450,302.412292,3433,303.457764,1717,305.236755,343,303.92041,1226
-39.25,-13.25,305.58667,185,304.660736,450,301.804047,3433,302.63446,1717,305.03186,343,303.095642,1226
-39.25,-6.25,307.708221,185,306.769348,450,304.25705,3433,305.201813,1717,307.045532,343,305.654449,1226
-37.25,-8.25,304.803467,185,303.894989,450,301.727478,3433,302.506622,1717,304.1627200000001,343,302.893188,1226
-13.75,10.25,306.167725,185,305.565338,450,303.946106,3433,304.557648,1717,305.771606,343,304.809967,1226
-13.75,11.25,306.623077,185,306.02298,450,304.115112,3433,304.9000240000001,1717,306.205261,343,305.208923,1226
-11.75,7.75,305.007751,185,304.547058,450,303.391296,3433,303.8682560000001,1717,304.679993,343,304.050842,1226
-10.75,11.25,308.972168,185,308.0932620000001,450,305.300934,3433,306.571503,1717,308.3757930000001,343,307.043915,1226
-10.25,9.25,305.518158,185,304.866028,450,302.63028,3433,303.520294,1717,305.096924,343,303.924957,1226
-9.25,30.25,307.007965,185,305.836853,450,302.084503,3433,303.744598,1717,306.1871950000001,343,304.363831,1226
-9.25,53.25,293.730438,185,292.322571,450,289.110779,3433,290.278076,1717,292.756165,343,290.814056,1226
-7.75,31.75,311.000732,185,309.791168,450,305.28009,3433,307.188599,1717,310.168671,343,307.91745,1226
-6.75,38.75,309.045166,185,307.429688,450,302.633575,3433,304.647369,1717,307.878723,343,305.447632,1226
-5.75,9.25,311.726929,185,310.0850220000001,450,305.692139,3433,307.213257,1717,310.680878,343,307.859375,1226
-5.75,35.75,304.626404,185,303.55307,450,300.137482,3433,301.532227,1717,303.884857,343,302.132813,1226
-5.75,43.75,301.66333,185,300.364441,450,295.086517,3433,297.298065,1717,300.822601,343,298.185364,1226
-5.25,6.75,309.847168,185,308.066345,450,304.732391,3433,305.924011,1717,308.701324,343,306.497803,1226
-5.25,12.25,311.897583,185,311.113647,450,308.079742,3433,309.43631,1717,311.38855,343,309.914734,1226
-4.25,36.75,306.896667,185,305.54361,450,301.182098,3433,302.927094,1717,305.950287,343,303.674103,1226
-4.25,43.25,300.609161,185,299.379089,450,294.24176,3433,296.544525,1717,299.867584,343,297.408569,1226
-3.75,55.75,294.0938720000001,185,292.547577,450,288.914032,3433,290.309082,1717,293.057465,343,290.888977,1226
-2.75,52.75,296.68515,185,294.66806,450,290.460693,3433,291.972809,1717,295.224609,343,292.638397,1226
-2.25,13.25,313.32287599999995,185,312.504089,450,309.298309,3433,310.755371,1717,312.778412,343,311.261536,1226
-2.25,52.75,297.018402,185,295.120361,450,290.876831,3433,292.467255,1717,295.691315,343,293.126617,1226
